User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
gaboudacity,AKIAU7X54OEM3KS5LJXM,2021-06-06T19:41:12Z,ec2.amazonaws.com,ModifyInstanceAttribute,us-east-1,34.193.8.124,APN/1.0 HashiCorp/1.0 Terraform/0.15.4 (+https://www.terraform.io) terraform-provider-aws/3.42.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.38.43 (go1.16; windows; amd64),,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0e63dcd300f2794a1""}]",a0654257-174c-4a43-a766-7d61ed786450,1c72d31b-cc4c-4728-8eab-8daf8d0d6a35,false,AwsApiCall,3.43056E+11,Management
gaboudacity,AKIAU7X54OEM3KS5LJXM,2021-06-06T19:41:12Z,ec2.amazonaws.com,TerminateInstances,us-east-1,34.193.8.124,APN/1.0 HashiCorp/1.0 Terraform/0.15.4 (+https://www.terraform.io) terraform-provider-aws/3.42.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.38.43 (go1.16; windows; amd64),,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-040786272109df3b3""}]",9c9f6861-e7a6-4ec3-8fd6-d5525a08f925,425c11e8-0a4c-40d8-bd24-cebd840d40cc,false,AwsApiCall,3.43056E+11,Management
gaboudacity,AKIAU7X54OEM3KS5LJXM,2021-06-06T19:41:12Z,ec2.amazonaws.com,ModifyInstanceAttribute,us-east-1,34.193.8.124,APN/1.0 HashiCorp/1.0 Terraform/0.15.4 (+https://www.terraform.io) terraform-provider-aws/3.42.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.38.43 (go1.16; windows; amd64),,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0a38d0268fc4a5314""}]",13714f7b-8282-4482-bbf2-3952e09270a9,9c26dbf0-ee5c-469f-a63a-5fa1321daf26,false,AwsApiCall,3.43056E+11,Management
gaboudacity,AKIAU7X54OEM3KS5LJXM,2021-06-06T19:41:12Z,ec2.amazonaws.com,TerminateInstances,us-east-1,34.193.8.124,APN/1.0 HashiCorp/1.0 Terraform/0.15.4 (+https://www.terraform.io) terraform-provider-aws/3.42.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.38.43 (go1.16; windows; amd64),,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0e63dcd300f2794a1""}]",1e7e79cd-aee2-4ee5-80cf-750517727ead,a21df7d3-389a-499f-8fbf-201ef90f17cb,false,AwsApiCall,3.43056E+11,Management
gaboudacity,AKIAU7X54OEM3KS5LJXM,2021-06-06T19:41:12Z,ec2.amazonaws.com,ModifyInstanceAttribute,us-east-1,34.193.8.124,APN/1.0 HashiCorp/1.0 Terraform/0.15.4 (+https://www.terraform.io) terraform-provider-aws/3.42.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.38.43 (go1.16; windows; amd64),,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0f6b83eecb13eee28""}]",94460c4c-8f99-4419-874d-dbddf878a5de,a844aec1-a68f-4edc-b657-b0eb92c24c97,false,AwsApiCall,3.43056E+11,Management
gaboudacity,AKIAU7X54OEM3KS5LJXM,2021-06-06T19:41:12Z,ec2.amazonaws.com,TerminateInstances,us-east-1,34.193.8.124,APN/1.0 HashiCorp/1.0 Terraform/0.15.4 (+https://www.terraform.io) terraform-provider-aws/3.42.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.38.43 (go1.16; windows; amd64),,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0a38d0268fc4a5314""}]",810be9ea-524e-4c5f-a39f-6dad22a1fb3d,b778ebe2-9bd8-4f52-9d7c-c2570e187535,false,AwsApiCall,3.43056E+11,Management
gaboudacity,AKIAU7X54OEM3KS5LJXM,2021-06-06T19:41:12Z,ec2.amazonaws.com,TerminateInstances,us-east-1,34.193.8.124,APN/1.0 HashiCorp/1.0 Terraform/0.15.4 (+https://www.terraform.io) terraform-provider-aws/3.42.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.38.43 (go1.16; windows; amd64),,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0f6b83eecb13eee28""}]",c58b3077-737b-40e3-abd9-e4035426032a,cd748226-f737-493d-8b5f-02dc672e0c50,false,AwsApiCall,3.43056E+11,Management
gaboudacity,AKIAU7X54OEM3KS5LJXM,2021-06-06T19:41:12Z,ec2.amazonaws.com,ModifyInstanceAttribute,us-east-1,34.193.8.124,APN/1.0 HashiCorp/1.0 Terraform/0.15.4 (+https://www.terraform.io) terraform-provider-aws/3.42.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.38.43 (go1.16; windows; amd64),,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-040786272109df3b3""}]",d327fb57-0ab5-4c9e-81df-6ab4c7f17568,debba6af-a24a-430b-81d5-2a2377fbe1c5,false,AwsApiCall,3.43056E+11,Management
greet_lambda,ASIAU7X54OEM2PF4GUUS,2021-06-06T19:35:10Z,logs.amazonaws.com,CreateLogStream,us-east-1,35.175.223.83,awslambda-worker/1.0  rusoto/0.42.0 rust/1.52.1 linux,ResourceNotFoundException,[],a2f44b34-3e79-46bc-911d-5102304a2567,06f3b4bc-2a4a-471d-8049-730a9b840b87,false,AwsApiCall,3.43056E+11,Management
greet_lambda,ASIAU7X54OEM2PF4GUUS,2021-06-06T19:35:10Z,logs.amazonaws.com,CreateLogStream,us-east-1,35.175.223.83,awslambda-worker/1.0  rusoto/0.42.0 rust/1.52.1 linux,,[],55c2d765-6c77-4505-9f47-c34dd869b742,ef315477-3e89-43d0-9641-918ddb40a16b,false,AwsApiCall,3.43056E+11,Management
greet_lambda,ASIAU7X54OEM2PF4GUUS,2021-06-06T19:35:10Z,logs.amazonaws.com,CreateLogGroup,us-east-1,35.175.223.83,awslambda-worker/1.0  rusoto/0.42.0 rust/1.52.1 linux,,[],d5682a1e-7869-484f-8439-3eb405096744,fcc011ba-2086-4812-950f-f53a60507493,false,AwsApiCall,3.43056E+11,Management
gaboudacity,ASIAIM6EVRCFBTORW4SQ,2021-06-06T19:28:42Z,kms.amazonaws.com,CreateGrant,us-east-1,lambda.amazonaws.com,lambda.amazonaws.com,,[],5d5de917-aba5-4484-90b5-34d2c65d0dc0,4ef3f2cd-6c0b-4b1d-b71c-66335142a16b,false,AwsApiCall,3.43056E+11,Management
gaboudacity,AKIAU7X54OEM3KS5LJXM,2021-06-06T19:28:42Z,lambda.amazonaws.com,CreateFunction20150331,us-east-1,34.193.8.124,APN/1.0 HashiCorp/1.0 Terraform/0.15.4 (+https://www.terraform.io) terraform-provider-aws/3.44.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.38.53 (go1.16; windows; amd64),,"[{""resourceType"":""AWS::Lambda::Function"",""resourceName"":""greet_lambda""}]",3b5300e6-8ba8-441e-be04-d8f93065ef83,971e80b1-dfdb-4399-8ceb-a0c379919cd0,false,AwsApiCall,3.43056E+11,Management
gaboudacity,AKIAU7X54OEM3KS5LJXM,2021-06-06T19:28:38Z,lambda.amazonaws.com,CreateFunction20150331,us-east-1,34.193.8.124,APN/1.0 HashiCorp/1.0 Terraform/0.15.4 (+https://www.terraform.io) terraform-provider-aws/3.44.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.38.53 (go1.16; windows; amd64),InvalidParameterValueException,[],15e9fae7-6f2b-46f7-9de0-b82bb4606415,29bd325b-74d8-4b10-b9c7-1445814d6b0f,false,AwsApiCall,3.43056E+11,Management
gaboudacity,AKIAU7X54OEM3KS5LJXM,2021-06-06T19:28:35Z,lambda.amazonaws.com,CreateFunction20150331,us-east-1,34.193.8.124,APN/1.0 HashiCorp/1.0 Terraform/0.15.4 (+https://www.terraform.io) terraform-provider-aws/3.44.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.38.53 (go1.16; windows; amd64),InvalidParameterValueException,[],b3edbed5-00fb-4791-801b-8d8ed22d12ec,fccee229-bc43-4ae4-8696-49f26a6301b0,false,AwsApiCall,3.43056E+11,Management
gaboudacity,AKIAU7X54OEM3KS5LJXM,2021-06-06T19:28:34Z,lambda.amazonaws.com,CreateFunction20150331,us-east-1,34.193.8.124,APN/1.0 HashiCorp/1.0 Terraform/0.15.4 (+https://www.terraform.io) terraform-provider-aws/3.44.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.38.53 (go1.16; windows; amd64),InvalidParameterValueException,[],c9c63dd3-dda9-43be-a0ec-2b870e8d7a47,09108a62-bf67-4b26-ae5e-5bd63a0785bc,false,AwsApiCall,3.43056E+11,Management
gaboudacity,AKIAU7X54OEM3KS5LJXM,2021-06-06T19:28:34Z,iam.amazonaws.com,CreateRole,us-east-1,34.193.8.124,APN/1.0 HashiCorp/1.0 Terraform/0.15.4 (+https://www.terraform.io) terraform-provider-aws/3.44.0 (+https://registry.terraform.io/providers/hashicorp/aws) aws-sdk-go/1.38.53 (go1.16; windows; amd64),,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::343056085273:role/iam_for_lambda""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""iam_for_lambda""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROAU7X54OEMYV6VO3DXM""}]",f9a6d756-4412-45bb-b569-8d2acb8768d1,67f7203b-e34a-4364-a215-96b179cdcffc,false,AwsApiCall,3.43056E+11,Management
